test,N,BS,time
blocks,512,16,43214.333333333336
blocks,512,32,33234.0
blocks,512,64,31141.333333333332
blocks,512,128,29889.666666666668
blocks,1024,16,334315.3333333333
blocks,1024,32,269838.6666666667
blocks,1024,64,250047.0
blocks,1024,128,239119.33333333334
blocks,2048,16,2725095.0
blocks,2048,32,2247478.0
blocks,2048,64,2022838.0
blocks,2048,128,1932239.3333333333
ij,512,0,148.0
ij,1024,0,614.6666666666666
ij,2048,0,2823.6666666666665
ijk,512,0,460798.6666666667
ijk,1024,0,3086546.0
ijk,2048,0,42564710.0
ikj,512,0,54861.333333333336
ikj,1024,0,434486.0
ikj,2048,0,3968102.6666666665
ji,512,0,1013.0
ji,1024,0,4212.333333333333
ji,2048,0,20138.333333333332
