test,N,BS,time
blocks,512,16,91416.0
blocks,512,32,88183.66666666667
blocks,512,64,87404.0
blocks,512,128,86631.33333333333
blocks,1024,16,731350.3333333334
blocks,1024,32,714203.6666666666
blocks,1024,64,700068.0
blocks,1024,128,694329.6666666666
blocks,2048,16,6265475.333333333
blocks,2048,32,5773966.333333333
blocks,2048,64,5659142.333333333
blocks,2048,128,5631747.333333333
ij,512,0,515.6666666666666
ij,1024,0,2621.0
ij,2048,0,10422.0
ijk,512,0,407843.3333333333
ijk,1024,0,3365573.6666666665
ijk,2048,0,37771143.666666664
ikj,512,0,89188.0
ikj,1024,0,709651.3333333334
ikj,2048,0,6429982.666666667
ji,512,0,690.6666666666666
ji,1024,0,2592.6666666666665
ji,2048,0,14831.0
